Date,Time,RSSI(dB),RxBt(V),Volt(V),Amps(A),RPM(rpm),FET(@C),Cap(@C),mAh(mAh),Rud,Ele,Thr,Ail,S1,6P,S2,EX1,EX2,LS,RS,SA,SB,SC,SD,SE,SF,SG,SH,LSW,TxBat(V)
2020-07-25,22:57:11.930,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:12.030,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:12.130,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:12.230,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:12.330,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:12.430,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:12.530,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:12.630,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:12.730,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:12.830,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:12.930,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:13.030,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:13.130,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:13.230,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:13.330,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:13.430,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:13.530,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:13.630,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:13.730,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:13.830,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:13.930,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:14.030,0,0.0,0.00,0.0,0,0,0,0,-1,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:14.130,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:14.230,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:14.330,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:14.430,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:14.530,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:14.630,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:14.730,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:14.830,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:14.930,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:15.030,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:15.130,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:15.230,0,0.0,0.00,0.0,0,0,0,0,-1,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:15.330,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:15.430,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:15.530,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:15.630,0,0.0,0.00,0.0,0,0,0,0,-1,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:15.730,0,0.0,0.00,0.0,0,0,0,0,-1,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:15.830,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:15.930,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:16.030,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:16.130,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:16.230,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:16.330,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:16.430,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:16.530,0,0.0,0.00,0.0,0,0,0,0,-1,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:16.630,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:16.730,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:16.830,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:16.930,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:17.030,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:17.130,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:17.230,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:17.330,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:17.430,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:17.530,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:17.630,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:17.730,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:17.830,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:17.930,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:18.030,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:18.130,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:18.230,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:18.330,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:18.430,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:18.530,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:18.630,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:18.730,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:18.830,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:18.930,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:19.030,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:19.130,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:19.230,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:19.330,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:19.430,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:19.530,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:19.630,0,0.0,0.00,0.0,0,0,0,0,-1,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:19.730,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:19.830,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:19.930,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:20.030,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:20.130,0,0.0,0.00,0.0,0,0,0,0,-1,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:20.230,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:20.330,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:20.430,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:20.530,0,0.0,0.00,0.0,0,0,0,0,-1,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:20.630,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:20.730,0,0.0,0.00,0.0,0,0,0,0,0,1,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:20.830,0,0.0,0.00,0.0,0,0,0,0,-1,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:20.930,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
2020-07-25,22:57:21.030,0,0.0,0.00,0.0,0,0,0,0,0,2,-1024,0,980,-205,-22,0,0,1000,-1,-1,-1,1,-1,-1,-1,1,-1,0x0000000000000000,7.6
